target_pos_0,target_pos_1,target_pos_2,target_pos_3,target_pos_4,target_pos_5,target_pos_6,target_pos_7,target_pos_8,target_pos_9,target_pos_10,target_pos_11,target_pos_12,target_pos_13,target_pos_14,target_pos_15,target_pos_16,target_pos_17,target_pos_18,target_pos_19,target_pos_20,target_pos_21,target_pos_22,target_pos_23,target_pos_24,target_pos_25,target_pos_26,target_pos_27,target_pos_28,target_pos_29
0.0,0.0,0.0,0.0,-0.1387536755335492,0.4347615166717875,-0.2960078411382383,0.0,0.0,0.0,-0.1387536755335492,0.4347615166717875,-0.2960078411382383,0.0,0.08726646259971647,0.2617993877991494,0.08726646259971647,0.17453292519943295,0.0,0.0,0.0,0.08726646259971647,0.2617993877991494,0.08726646259971647,0.17453292519943295,0.0,0.0,0.0,0.0,0.0
2.8295398397709746e-08,-1.7339810627537675e-07,-4.285486507792358e-09,6.396470680537985e-09,-0.13875394588645037,0.4347619509682274,-0.2960080050817771,4.285486507792358e-09,-4.285486507792358e-09,6.396470680537985e-09,-0.13875394780539158,0.4347619509682274,-0.2960080031628359,4.285486507792358e-09,0.08726619878160534,0.26179929970713156,0.08726622550302338,0.17453273383485077,2.155638691847329e-09,-2.3126771990203023e-13,9.611096490052372e-14,0.08726616679925193,0.26179934526272974,0.08726632476937875,0.17453270131536952,2.432605539056759e-08,-1.657913975676178e-13,-5.766653391155258e-14,0.0,0.0
2.442405790230259e-07,-1.4967399745685191e-06,-3.699151683064094e-08,5.5213136806190305e-08,-0.13875600916915287,0.43476526543730987,-0.29600925626815705,3.699151683064094e-08,-3.699151683064094e-08,5.5213136806190305e-08,-0.13875602573309392,0.43476526543730987,-0.296009239704216,3.699151683064094e-08,0.08726418537119633,0.2617986274053514,0.08726441602547168,0.1745312733762036,1.860706942029997e-08,-1.996259639969543e-12,8.296118466975061e-13,0.0872639093055123,0.26179902063274196,0.08726527287405791,0.17453099267413272,2.0997795367388543e-07,-1.431080289798259e-12,-4.977667193386673e-13,0.0,0.0
9.38492042637171e-07,-5.751208753468808e-06,-1.4213954261614572e-07,2.1215593964327285e-07,-0.1387626425055946,0.43477592126674286,-0.29601327876114825,1.4213954261614572e-07,-1.4213954261614572e-07,2.1215593964327285e-07,-0.1387627061523765,0.43477592126674286,-0.29601321511436635,1.4213954261614572e-07,0.08725771237133934,0.26179646599339723,0.0872585986581426,0.17452657808478575,7.149748275900813e-08,-7.670608195587912e-12,3.1877754291179294e-12,0.08725665159164112,0.26179797696580986,0.08726189109047773,0.17452549948981624,8.068382389217959e-07,-5.498912055166497e-12,-1.912663763972277e-12,0.0,0.0
2.504208703350168e-06,-1.5346136526368273e-05,-3.792755436789318e-07,5.661025628189746e-07,-0.13877760239538567,0.434799952918891,-0.2960223505235053,3.792755436789318e-07,-3.792755436789318e-07,5.661025628189746e-07,-0.13877777222615453,0.434799952918891,-0.2960221806927365,3.792755436789318e-07,0.08724311408202766,0.26179159145026015,0.08724547898980049,0.17451598898791645,1.907790481522036e-07,-2.0467732203038684e-11,8.506044389562476e-12,0.08724028356921355,0.26179562322687033,0.0872542642936009,0.17451311093803717,2.1529125962816746e-06,-1.4672925077563887e-11,-5.103622648587135e-12,0.0,0.0
5.410315037624264e-06,-3.315515719874702e-05,-8.194205916719507e-07,1.2230582875779011e-06,-0.1388053692522971,0.43484455775594943,-0.2960391885036523,8.194205916719507e-07,-8.194205916719507e-07,1.2230582875779011e-06,-0.1388057361697834,0.43484455775594943,-0.2960388215861661,8.194205916719507e-07,0.08721601838706398,0.2617825438741292,0.08722112774399131,0.1744963347029119,4.1217601060991916e-07,-4.4220307666857455e-11,1.8377214251345188e-11,0.08720990309562607,0.26179125448263124,0.0872401082950923,0.17449011670817363,4.651343707403723e-06,-3.170069135486808e-11,-1.1026319940934126e-11,0.0,0.0
1.0176816771600375e-05,-6.236493762356179e-05,-1.541332281453172e-06,2.300575845789043e-06,-0.1388509115540548,0.4349177171688296,-0.29606680561477483,1.541332281453172e-06,-1.541332281453172e-06,2.300575845789043e-06,-0.13885160172680855,0.4349177171688296,-0.29606611544202116,1.541332281453172e-06,0.08717157690345256,0.2617677043320216,0.08718118761722958,0.17446409837953675,7.753041566814707e-07,-8.317851466686749e-11,3.456758819177868e-11,0.0871600740242236,0.26178408900945316,0.0872168900836175,0.17445240231513043,8.74918970943508e-06,-5.96290835576206e-11,-2.0740536719873545e-11,0.0,0.0
1.7352158844055933e-05,-0.00010633642407354713,-2.6280754758091866e-06,3.922636950714414e-06,-0.13891946950538187,0.4350278490522387,-0.29610837954685687,2.6280754758091866e-06,-2.6280754758091866e-06,3.922636950714414e-06,-0.1389206462964671,0.4350278490522387,-0.2961072027557717,2.6280754758091866e-06,0.08710467608920418,0.26174536535120024,0.08712106300426871,0.17441557083034354,1.3219458678608104e-06,-1.4182497644449068e-10,5.894006884682563e-11,0.0870850629044506,0.2617733023310812,0.08718193811696766,0.17439562825183555,1.4917958434562908e-05,-1.0167160840556272e-10,-3.53640136941981e-11,0.0,0.0
2.749261543361598e-05,-0.0001684785414836946,-4.163900816968938e-06,6.214993197150552e-06,-0.1390163581167235,0.4351834914692216,-0.29616713335249817,4.163900816968938e-06,-4.163900816968938e-06,6.214993197150552e-06,-0.13901822261468266,0.4351834914692216,-0.29616526885453903,4.163900816968938e-06,0.08701012940476162,0.26171379508416814,0.08703609269601899,0.1743469899179602,2.0944799834865916e-06,-2.2470630722733939e-10,9.338415242733374e-11,0.08697905443877585,0.2617580582015789,0.08713254271575145,0.17431539306326319,2.3635888651203716e-05,-1.6108764653044017e-10,-5.6030447705172214e-11,0.0,0.0
4.1143701889896236e-05,-0.0002521342832000591,-6.231429466073635e-06,9.300964034096022e-06,-0.1391467896015755,0.4353930173492185,-0.2962462277476431,6.231429466073635e-06,-6.231429466073635e-06,9.300964034096022e-06,-0.13914957989078575,0.4353930173492185,-0.29624343745843285,6.231429466073635e-06,0.0868828506227777,0.2616712951788732,0.08692170563525016,0.17425466626804095,3.134465699089472e-06,-3.3628118574839797e-10,1.397527906352963e-10,0.08683634580260718,0.2617375365487372,0.08706604660814626,0.1742073804223763,3.53719695718307e-05,-2.410735392926453e-10,-8.385160890586905e-11,0.0,0.0
