-1.282,-0.212476,-17.8256,27.5169,-9.70123,1.282,-1.282,-0.212476,-17.7619,27.5169,-9.76497,1.282,12.2361,18.1109,-41.6506,31.8568,43.1745,1.4243,-25.2596,13.2985,33.2496,-49.7665,52.7186,65.5387,11.6475,-14.0239,0.159357,-0.756935
-1.28195,-0.21227,-17.8255,27.5169,-9.70135,1.28195,-1.28195,-0.21227,-17.7618,27.5169,-9.76503,1.28195,12.2355,18.1114,-41.6492,31.8571,43.1744,1.42432,-25.2591,13.2969,33.2492,-49.7652,52.7184,65.5368,11.647,-14.0239,0.159203,-0.756892
-1.28189,-0.212065,-17.8254,27.5169,-9.70146,1.28189,-1.28189,-0.212065,-17.7618,27.5169,-9.76508,1.28189,12.235,18.1119,-41.6479,31.8573,43.1744,1.42432,-25.2585,13.2953,33.2489,-49.764,52.7182,65.5349,11.6466,-14.0239,0.159049,-0.756849
-1.28183,-0.21186,-17.8251,27.5168,-9.70155,1.28183,-1.28183,-0.21186,-17.7615,27.5168,-9.7651,1.28183,12.2344,18.1124,-41.6466,31.8575,43.1744,1.42432,-25.258,13.2937,33.2485,-49.7629,52.718,65.5331,11.6461,-14.0239,0.158895,-0.756805
-1.28177,-0.211657,-17.825,27.5168,-9.70166,1.28177,-1.28177,-0.211657,-17.7615,27.5168,-9.76516,1.28177,12.2338,18.1129,-41.6452,31.8577,43.1744,1.42432,-25.2575,13.2921,33.2482,-49.7617,52.7178,65.5312,11.6457,-14.0239,0.158743,-0.756762
-1.28172,-0.211453,-17.8249,27.5168,-9.70178,1.28172,-1.28172,-0.211453,-17.7614,27.5168,-9.76522,1.28172,12.2333,18.1135,-41.6438,31.8579,43.1743,1.42431,-25.257,13.2905,33.2478,-49.7606,52.7176,65.5294,11.6452,-14.0239,0.15859,-0.756718
-1.28166,-0.211248,-17.8247,27.5168,-9.7019,1.28166,-1.28166,-0.211248,-17.7614,27.5168,-9.76527,1.28166,12.2327,18.114,-41.6425,31.8581,43.1744,1.42429,-25.2565,13.2889,33.2475,-49.7595,52.7174,65.5276,11.6448,-14.0239,0.158436,-0.756674
-1.2816,-0.211041,-17.8246,27.5168,-9.70202,1.2816,-1.2816,-0.211041,-17.7613,27.5168,-9.76533,1.2816,12.2321,18.1145,-41.641,31.8583,43.1744,1.42427,-25.2559,13.2873,33.2471,-49.7584,52.7172,65.5258,11.6443,-14.0239,0.158281,-0.756629
-1.28154,-0.210834,-17.8245,27.5168,-9.70214,1.28154,-1.28154,-0.210834,-17.7612,27.5168,-9.76539,1.28154,12.2315,18.1151,-41.6396,31.8585,43.1744,1.42423,-25.2554,13.2856,33.2468,-49.7574,52.717,65.524,11.6439,-14.0239,0.158125,-0.756584
-1.28148,-0.210624,-17.8244,27.5168,-9.70226,1.28148,-1.28148,-0.210624,-17.7612,27.5168,-9.76545,1.28148,12.2308,18.1157,-41.6381,31.8587,43.1745,1.42419,-25.2549,13.284,33.2464,-49.7563,52.7168,65.5222,11.6434,-14.024,0.157968,-0.756538
