Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-22.9269,3.77025,-0.311967,0.530002,-14.5047,28.6699,-14.9438,0.311967,-0.311967,0.530002,-14.6637,28.6699,-14.7848,0.311967,7.05718,11.5743,-13.8263,10.9897,-8.74837,-0.0826043,-5.12574,4.40717,14.9015,-3.20321,37.989,-7.69653,7.90836,0.123394,-0.397502,-0.166359,68,63,75,75,82,82,47,90,77,76,72,87
-22.925,3.77545,-0.312345,0.531986,-14.5097,28.6738,-14.9453,0.312345,-0.312345,0.531986,-14.6693,28.6738,-14.7857,0.312345,7.06029,11.5732,-13.8292,10.9917,-8.74727,-0.0822332,-5.12543,4.40036,14.9044,-3.19671,38.0281,-7.70043,7.92021,0.12553,-0.39899,-0.166562,68,63,75,75,82,82,47,90,77,76,72,87
-22.9232,3.78064,-0.312722,0.53397,-14.5148,28.6778,-14.9469,0.312722,-0.312722,0.53397,-14.675,28.6778,-14.7867,0.312722,7.06341,11.572,-13.8322,10.9937,-8.74617,-0.0818621,-5.12512,4.39356,14.9073,-3.19021,38.0672,-7.70432,7.93205,0.127666,-0.400478,-0.166766,68,63,75,75,82,82,47,90,77,76,72,87
-22.9213,3.78584,-0.3131,0.535954,-14.5198,28.6817,-14.9484,0.3131,-0.3131,0.535954,-14.6806,28.6817,-14.7876,0.3131,7.06653,11.5708,-13.8351,10.9957,-8.74507,-0.081491,-5.12481,4.38675,14.9102,-3.18372,38.1064,-7.70822,7.94389,0.129801,-0.401966,-0.166969,68,63,75,75,82,82,47,90,77,76,72,87
-22.9195,3.79103,-0.313477,0.537938,-14.5249,28.6857,-14.9499,0.313477,-0.313477,0.537938,-14.6863,28.6857,-14.7885,0.313477,7.06964,11.5697,-13.838,10.9977,-8.74397,-0.08112,-5.1245,4.37995,14.9131,-3.17722,38.1455,-7.71211,7.95573,0.131937,-0.403454,-0.167172,68,63,75,75,82,82,47,90,77,76,72,87
-22.9176,3.79622,-0.313854,0.539922,-14.5299,28.6896,-14.9514,0.313854,-0.313854,0.539922,-14.6919,28.6896,-14.7895,0.313854,7.07276,11.5685,-13.8409,10.9997,-8.74287,-0.0807489,-5.1242,4.37315,14.916,-3.17072,38.1846,-7.71601,7.96757,0.134073,-0.404942,-0.167376,68,63,75,75,82,82,47,90,77,76,72,87
-22.9158,3.80141,-0.314232,0.541906,-14.535,28.6936,-14.953,0.314232,-0.314232,0.541906,-14.6976,28.6936,-14.7904,0.314232,7.07587,11.5674,-13.8438,11.0017,-8.74176,-0.0803778,-5.12389,4.36634,14.9189,-3.16422,38.2237,-7.7199,7.97942,0.136209,-0.40643,-0.167579,68,63,75,75,82,82,47,90,77,76,72,87
-22.9139,3.8066,-0.314609,0.54389,-14.54,28.6975,-14.9545,0.314609,-0.314609,0.54389,-14.7032,28.6975,-14.7913,0.314609,7.07899,11.5662,-13.8467,11.0037,-8.74066,-0.0800067,-5.12358,4.35954,14.9218,-3.15773,38.2629,-7.7238,7.99126,0.138345,-0.407918,-0.167782,68,63,75,75,82,82,47,90,77,76,72,87
-22.9121,3.81179,-0.314987,0.545874,-14.5457,28.7019,-14.9562,0.314987,-0.314987,0.545874,-14.7095,28.7019,-14.7924,0.314987,7.0821,11.565,-13.8496,11.0057,-8.73956,-0.0796357,-5.12327,4.35273,14.9247,-3.15123,38.302,-7.72769,8.0031,0.140481,-0.409406,-0.167986,68,63,75,75,82,82,47,90,77,76,72,87
-22.9102,3.81703,-0.315366,0.547879,-14.5514,28.7063,-14.9578,0.315366,-0.315366,0.547879,-14.7158,28.7063,-14.7935,0.315366,7.08526,11.5639,-13.8526,11.0077,-8.73845,-0.0792629,-5.12295,4.34587,14.9277,-3.14474,38.3414,-7.73168,8.0151,0.142663,-0.410909,-0.16819,68,63,75,75,82,82,47,90,77,76,72,87
-22.9082,3.8223,-0.315748,0.549903,-14.5571,28.7107,-14.9595,0.315748,-0.315748,0.549903,-14.722,28.7107,-14.7945,0.315748,7.08846,11.5627,-13.8555,11.0098,-8.73734,-0.0788886,-5.12264,4.33894,14.9307,-3.13826,38.3811,-7.73577,8.02726,0.144889,-0.412427,-0.168396,68,63,75,75,82,82,47,90,77,76,72,87
-22.9061,3.82762,-0.316131,0.551948,-14.5627,28.7151,-14.9612,0.316131,-0.316131,0.551948,-14.7283,28.7151,-14.7956,0.316131,7.09169,11.5616,-13.8584,11.0118,-8.73622,-0.0785125,-5.12232,4.33196,14.9337,-3.13178,38.4211,-7.73996,8.03958,0.147161,-0.413961,-0.168602,68,63,75,75,82,82,47,90,77,76,72,87
-22.904,3.83299,-0.316517,0.554012,-14.5684,28.7195,-14.9628,0.316517,-0.316517,0.554012,-14.7346,28.7195,-14.7966,0.316517,7.09497,11.5605,-13.8614,11.0139,-8.73509,-0.0781349,-5.122,4.32491,14.9367,-3.12531,38.4614,-7.74424,8.05206,0.149479,-0.415509,-0.16881,68,63,75,75,82,82,47,90,77,76,72,87
